App,Category,Rating,Reviews,Size,Installs,Type,Price,Last Updated
App109,LIFESTYLE,4.3,320851,14M,1000000+,Paid,2.868802044882548,May 23 2020
App110,EDUCATION,4.4,277126,56M,50000+,Paid,5.197676668298989,October 26 2018
App111,EDUCATION,4.9,336410,5M,5000+,Free,2.2312877483972438,December 17 2020
App112,SOCIAL,4.1,416971,44M,1000+,Free,3.832726127996393,January 27 2018
App113,PRODUCTIVITY,3.6,44150,8M,500000+,Free,3.2802867659744193,July 29 2022
App114,TOOLS,4.9,171664,68M,500000+,Paid,8.791261034849851,June 06 2021
App115,BUSINESS,4.2,360963,29M,10000+,Free,0.808340553639727,March 12 2022
App116,BUSINESS,4.5,242064,64M,5000+,Free,2.2125584170195998,January 10 2022
App117,EDUCATION,3.6,164421,34M,5000+,Paid,9.71688390467393,June 24 2020
App118,TOOLS,4.1,74232,48M,1000+,Paid,5.670068051704689,January 09 2018
App119,LIFESTYLE,4.9,355912,36M,5000+,Free,9.043658554242969,December 20 2018
App120,TOOLS,4.8,241667,30M,500000+,Paid,9.577314389084053,April 09 2020
App121,SOCIAL,4.6,255770,74M,1000000+,Free,0.9094873433977579,November 17 2019
App122,SOCIAL,4.8,182158,22M,100000+,Free,0.6697691146742912,May 24 2019
App123,HEALTH,4.3,283684,68M,500000+,Free,8.051934849381531,January 30 2019
App124,LIFESTYLE,3.9,185591,47M,50000+,Free,6.291752711143087,March 23 2020
App125,BUSINESS,4.5,353009,48M,50000+,Paid,0.6535967941994159,July 21 2021
App126,LIFESTYLE,3.5,411273,39M,50000+,Free,2.763017706986879,May 08 2019
App127,PRODUCTIVITY,3.8,70403,67M,1000000+,Free,2.872825597647889,August 26 2018
App128,HEALTH,3.9,234055,38M,100000+,Free,3.7856414154046214,May 29 2020
App129,GAME,3.5,58934,74M,10000+,Paid,3.1000884592190037,March 09 2019
App130,GAME,4.2,123884,10M,1000000+,Free,2.7989997420321924,August 18 2022
App131,TOOLS,4.8,6813,51M,1000000+,Free,8.247699052596664,August 20 2020
App132,PRODUCTIVITY,4.9,34023,69M,1000+,Paid,8.441560317551293,June 02 2021
App133,HEALTH,4.1,139708,58M,100000+,Free,9.535530019212977,February 27 2019
App134,TOOLS,4.2,446687,76M,1000000+,Paid,7.0007912057790245,February 07 2018
App135,LIFESTYLE,4.1,35043,67M,500000+,Paid,2.454716052506339,March 14 2023
App136,FINANCE,4.6,43840,6M,500000+,Free,7.38538162373049,May 24 2020
App137,BUSINESS,4.0,75669,22M,1000+,Paid,3.357152981030771,March 15 2023
App138,GAME,4.8,9038,29M,500000+,Paid,6.663692691293478,June 29 2019
App139,BUSINESS,4.4,486844,20M,5000+,Free,9.512279447046891,December 27 2022
App140,LIFESTYLE,4.4,316176,35M,500000+,Free,7.832606267706121,February 13 2018
App141,GAME,3.9,380191,44M,50000+,Free,5.841701616073793,December 28 2018
App142,HEALTH,4.9,462681,29M,1000000+,Paid,1.318546593543417,November 10 2018
App143,HEALTH,4.1,436369,79M,100000+,Free,1.2769427877991202,May 13 2021
App144,SOCIAL,3.7,497400,38M,1000+,Free,1.3474484050157065,April 24 2023
App145,FINANCE,4.5,3211,6M,1000000+,Paid,4.247109517455502,November 06 2018
App146,GAME,4.8,399674,56M,1000+,Paid,8.869634247033847,October 08 2019
App147,LIFESTYLE,4.7,218680,66M,5000+,Free,7.996916866601673,September 22 2020
App148,GAME,4.7,67459,27M,10000+,Free,1.031264292328119,August 05 2021
App149,PRODUCTIVITY,4.5,57810,67M,5000+,Paid,2.451470598334158,November 01 2019
App150,FINANCE,4.7,20450,32M,1000000+,Free,2.699119790394089,May 14 2020
App151,GAME,4.8,116923,68M,500000+,Paid,4.601453317920713,February 17 2023
App152,BUSINESS,4.5,114350,32M,10000+,Free,3.9057374639532427,December 18 2021
App153,TOOLS,5.0,447366,40M,50000+,Paid,0.4554598816760158,September 22 2022
App154,SOCIAL,3.7,393538,77M,5000+,Free,6.215247004630963,July 02 2020
App155,HEALTH,4.1,117880,11M,5000+,Free,3.812751505866184,January 28 2020
App156,TOOLS,4.5,148590,60M,500000+,Paid,7.221940785977074,April 17 2022
App157,BUSINESS,4.0,265118,46M,5000+,Free,6.572250909447938,March 25 2020
App158,GAME,4.5,286700,72M,1000000+,Free,6.766713787390589,August 15 2022
App159,TOOLS,4.6,55204,69M,1000+,Free,1.5687370086670605,August 23 2019
App160,GAME,4.7,434360,50M,1000+,Paid,9.118239469421832,February 02 2019
App161,PRODUCTIVITY,3.6,242671,63M,1000+,Free,3.670107377193841,October 26 2022
App162,GAME,3.9,437268,35M,5000+,Free,4.768180774018701,October 08 2020
App163,GAME,4.1,188018,72M,1000000+,Free,5.623626002908916,March 24 2021
App164,BUSINESS,3.5,350363,71M,1000+,Free,1.7937257225068926,June 19 2018
App165,BUSINESS,4.1,254262,27M,10000+,Free,8.177882140182495,January 14 2020
App166,BUSINESS,4.8,168643,43M,1000000+,Free,4.893865670035097,October 29 2022
App167,BUSINESS,3.8,459723,77M,500000+,Paid,1.2869944830190883,December 12 2022
App168,SOCIAL,4.2,343519,29M,100000+,Paid,3.3835206410747642,January 12 2018
App169,ENTERTAINMENT,4.7,469744,37M,50000+,Paid,7.124840663405493,May 01 2022
App170,HEALTH,4.0,366253,19M,1000000+,Free,7.380329272680223,April 28 2019
App171,LIFESTYLE,4.6,486295,39M,1000+,Paid,5.917658897922306,September 28 2019
App172,TOOLS,4.0,386142,55M,1000000+,Free,4.793592784965685,June 13 2018
App173,GAME,5.0,151422,21M,500000+,Free,2.102848829707249,August 06 2022
App174,BUSINESS,3.6,418297,28M,100000+,Free,6.230680376763724,September 30 2019
App175,BUSINESS,4.9,299528,5M,1000000+,Free,5.019481855245896,May 12 2018
App176,GAME,3.5,229321,50M,10000+,Free,7.689521936327387,June 11 2018
App177,TOOLS,3.9,408956,68M,10000+,Free,3.413331841788896,December 25 2022
App178,GAME,4.9,269247,74M,1000000+,Free,3.490118580160945,June 10 2018
App179,TOOLS,4.7,437648,74M,50000+,Paid,3.750064415134359,October 13 2020
App180,BUSINESS,4.6,295410,24M,1000000+,Paid,3.146986412820646,November 12 2020
App181,SOCIAL,4.1,172693,28M,1000+,Paid,0.7038453199685379,March 11 2021
App182,SOCIAL,3.6,382553,53M,1000000+,Paid,2.0738833880446994,July 29 2022
App183,ENTERTAINMENT,4.6,213706,30M,500000+,Free,3.7364573571690496,August 27 2022
App184,LIFESTYLE,3.8,183370,33M,100000+,Paid,3.254312751256103,July 18 2021
App185,HEALTH,3.7,169437,20M,1000+,Free,9.118533647262906,December 19 2021
App186,HEALTH,4.4,286636,53M,1000000+,Paid,4.281426694479213,June 25 2022
App187,EDUCATION,3.6,375465,36M,1000000+,Free,1.911849905256019,January 15 2020
App188,HEALTH,3.6,396307,15M,5000+,Free,8.622421821125211,July 24 2020
App189,LIFESTYLE,4.5,409185,46M,500000+,Free,2.5996419255003946,September 03 2020
App190,EDUCATION,4.0,371744,46M,1000000+,Paid,8.402854283192756,June 22 2020
App191,FINANCE,4.5,162113,36M,5000+,Free,5.961725350649863,November 30 2020
App192,TOOLS,4.3,183873,47M,500000+,Paid,3.6967003384432626,January 11 2022
App193,SOCIAL,3.8,357480,47M,100000+,Free,9.98453418282412,June 14 2018
App194,BUSINESS,4.5,77390,49M,50000+,Free,0.24097878379032767,August 25 2018
App195,BUSINESS,3.9,382282,68M,100000+,Paid,3.8273071279786053,April 30 2023
App196,BUSINESS,3.7,58241,78M,100000+,Free,5.852078357497569,September 18 2022
App197,TOOLS,4.5,46096,71M,10000+,Free,2.9996543251074392,January 14 2023
App198,FINANCE,3.7,336672,65M,1000000+,Free,0.36376052781351365,June 04 2021
App199,EDUCATION,4.9,79466,62M,5000+,Paid,6.207237071393152,June 11 2022
App200,TOOLS,4.7,309305,61M,100000+,Free,9.179976105800487,May 09 2023
App201,ENTERTAINMENT,4.8,208681,16M,5000+,Paid,6.493198003326965,March 22 2022
App202,ENTERTAINMENT,3.8,273746,11M,1000000+,Paid,5.337099757424905,February 09 2019
App203,SOCIAL,4.6,342495,69M,5000+,Paid,1.9928675390804484,March 13 2020
App204,EDUCATION,4.4,401826,37M,1000+,Free,3.376474653443051,April 10 2022
App205,LIFESTYLE,4.8,207257,74M,1000000+,Paid,0.11864832632016875,November 23 2020
App206,FINANCE,4.8,362395,74M,100000+,Paid,4.388869720409837,July 05 2021
App207,FINANCE,4.9,431966,53M,1000000+,Paid,4.617562819455417,January 01 2018
App208,BUSINESS,4.4,485214,76M,1000+,Free,9.905710850829292,March 26 2022
App209,LIFESTYLE,3.5,307551,44M,10000+,Free,4.4037354324163545,November 15 2019
App210,EDUCATION,4.4,32766,65M,1000+,Free,1.2877718685596362,November 08 2020
App211,GAME,4.5,348507,70M,50000+,Free,4.738645857909605,March 30 2021
App212,HEALTH,4.4,365142,49M,10000+,Paid,0.5014076197449024,January 08 2023
App213,LIFESTYLE,3.5,340197,18M,100000+,Free,2.308954605275464,April 16 2022
App214,HEALTH,4.4,302767,28M,100000+,Free,7.097538688436114,January 18 2018
App215,EDUCATION,3.8,145909,59M,100000+,Paid,4.191253756168148,May 30 2020
App216,TOOLS,4.4,328612,7M,1000+,Free,0.19987621019586954,August 06 2020
App217,ENTERTAINMENT,4.6,129786,37M,1000+,Free,1.7184731533142117,May 23 2019
App218,SOCIAL,4.0,149481,57M,5000+,Free,0.7996302627350638,August 05 2018
App219,TOOLS,4.5,399359,57M,50000+,Free,5.715850383151451,May 10 2018
App220,SOCIAL,4.5,259257,37M,50000+,Free,1.1348079373393605,August 12 2021
App221,EDUCATION,4.8,418236,17M,10000+,Free,7.668385645469696,June 28 2019
App222,FINANCE,4.5,388292,14M,1000+,Paid,7.544571540994066,March 05 2022
App223,LIFESTYLE,3.5,403684,18M,10000+,Free,2.570494330832908,June 30 2022
App224,PRODUCTIVITY,4.4,121866,78M,50000+,Paid,3.1544199308984897,November 12 2020
App225,TOOLS,5.0,75102,48M,50000+,Free,9.29929186230286,October 09 2021
App226,EDUCATION,4.3,470077,21M,100000+,Paid,2.9183935788856905,September 26 2018
App227,TOOLS,4.5,349845,60M,500000+,Free,5.6425369071484175,November 27 2018
App228,FINANCE,4.2,489775,61M,100000+,Free,5.344709370397823,December 07 2021
App229,ENTERTAINMENT,4.3,447036,49M,10000+,Paid,4.7733261819349115,August 31 2020
App230,TOOLS,3.7,198446,42M,500000+,Paid,5.4145216422175455,April 23 2021
App231,ENTERTAINMENT,4.5,58660,72M,50000+,Paid,8.313874722367965,July 05 2020
App232,BUSINESS,4.9,139801,40M,10000+,Paid,6.276438217672262,March 08 2022
App233,HEALTH,4.9,112161,26M,1000+,Free,6.979864416973552,January 04 2018
App234,FINANCE,4.9,370015,10M,5000+,Free,3.7097336057484434,January 15 2023
App235,FINANCE,3.9,403136,11M,10000+,Free,4.675467777945625,November 18 2020
App236,FINANCE,4.0,88617,26M,50000+,Paid,9.897346615873369,November 09 2018
App237,GAME,4.9,41835,23M,5000+,Free,7.1143767638271305,January 06 2021
App238,ENTERTAINMENT,4.1,325766,67M,5000+,Paid,8.246329660016972,March 21 2020
App239,LIFESTYLE,3.7,183281,12M,100000+,Paid,2.675851316771557,June 13 2020
App240,PRODUCTIVITY,3.9,97534,10M,100000+,Free,7.828813560263875,January 12 2023
App241,PRODUCTIVITY,4.1,277587,40M,100000+,Free,5.493582090090957,February 16 2019
App242,ENTERTAINMENT,3.5,4461,39M,5000+,Paid,8.598796527980054,May 16 2023
App243,PRODUCTIVITY,3.7,458,76M,1000+,Free,3.019689579090855,October 08 2021
App244,LIFESTYLE,4.6,320707,48M,500000+,Paid,5.274558681228467,January 17 2020
App245,SOCIAL,3.6,409485,9M,500000+,Paid,7.856601448245301,February 04 2018
App246,LIFESTYLE,4.2,160206,50M,500000+,Paid,3.372773240228668,August 21 2020
App247,FINANCE,3.9,162549,52M,100000+,Paid,9.086701860357856,April 02 2023
App248,PRODUCTIVITY,4.8,122871,77M,500000+,Paid,3.9294806032032747,May 04 2022
App249,TOOLS,4.7,196949,40M,1000000+,Free,6.034770930369345,May 03 2019
App250,BUSINESS,4.6,180009,65M,500000+,Free,7.389186242499938,June 19 2021
App251,SOCIAL,3.9,345658,33M,100000+,Free,0.4975022197183132,April 09 2023
App252,ENTERTAINMENT,4.7,421786,64M,1000+,Free,3.545462393994838,November 19 2020
App253,EDUCATION,4.1,269138,68M,100000+,Paid,4.9679219600072235,October 04 2018
App254,TOOLS,3.7,120524,28M,500000+,Free,2.8134384911993484,June 13 2021
App255,HEALTH,4.9,430434,62M,500000+,Paid,0.33031007362062437,February 20 2023
App256,GAME,3.6,269683,12M,100000+,Free,4.494432492074997,October 21 2019
App257,GAME,4.6,291069,15M,5000+,Free,4.183861146542137,April 11 2023
App258,ENTERTAINMENT,3.9,284426,12M,1000+,Free,5.975311803087269,April 16 2018
App259,FINANCE,4.8,80306,65M,100000+,Paid,8.244085468270942,December 27 2018
App260,ENTERTAINMENT,4.2,319254,29M,5000+,Free,6.830594284655898,February 08 2018
App261,SOCIAL,4.2,307976,71M,5000+,Paid,4.5298162094376355,January 25 2023
App262,LIFESTYLE,3.8,445772,31M,500000+,Paid,5.726843377128191,February 10 2019
App263,SOCIAL,4.9,109115,16M,500000+,Paid,0.37318178345573716,August 15 2020
App264,LIFESTYLE,3.9,240031,32M,100000+,Free,1.9038006362164162,June 06 2019
App265,FINANCE,3.9,466628,68M,50000+,Paid,9.333399005356071,April 12 2020
App266,TOOLS,4.3,308563,52M,500000+,Paid,0.2771593779033499,November 07 2021
App267,EDUCATION,3.6,269029,57M,5000+,Paid,5.598576335597851,November 17 2018
App268,SOCIAL,4.6,475018,14M,1000000+,Paid,8.273108905208726,December 20 2020
App269,LIFESTYLE,4.3,29183,63M,1000+,Free,3.843460510751231,July 31 2021
App270,SOCIAL,3.6,319541,44M,10000+,Paid,9.326754201387395,May 21 2023
App271,HEALTH,4.8,442608,18M,500000+,Free,5.258240558038723,June 17 2021
App272,FINANCE,4.0,117236,70M,1000+,Paid,9.36642591617545,February 13 2020
App273,TOOLS,4.4,168732,9M,1000+,Paid,2.7021997722759994,September 20 2021
App274,PRODUCTIVITY,4.5,153738,40M,1000000+,Paid,8.664999634091433,August 04 2021
App275,ENTERTAINMENT,4.8,216670,10M,100000+,Paid,0.7703686015167877,October 27 2018
App276,GAME,4.4,62277,14M,50000+,Paid,1.7784425996945585,July 27 2019
App277,TOOLS,4.6,414353,30M,1000+,Paid,7.904332608460704,February 10 2019
App278,PRODUCTIVITY,3.9,221390,36M,100000+,Paid,9.913330042483446,May 26 2018
App279,FINANCE,3.6,151313,78M,100000+,Free,8.395666493348354,May 25 2019
App280,ENTERTAINMENT,4.7,241782,69M,1000+,Free,2.9644612561947827,June 27 2018
App281,TOOLS,4.9,117076,79M,10000+,Paid,1.309247000913708,July 13 2021
App282,SOCIAL,3.9,56770,59M,5000+,Free,8.242709013937107,March 12 2018
App283,BUSINESS,4.9,224204,25M,1000+,Paid,2.090776132550981,April 01 2018
App284,FINANCE,4.7,323539,77M,5000+,Paid,2.58077168418453,January 13 2019
App285,PRODUCTIVITY,5.0,5653,62M,50000+,Free,3.7057587987870266,July 19 2021
App286,EDUCATION,4.0,109143,9M,500000+,Paid,5.52493822355104,May 31 2023
App287,FINANCE,3.9,97674,25M,10000+,Paid,4.795004152006276,October 31 2018
App288,LIFESTYLE,4.1,300361,70M,100000+,Paid,6.601982188698844,July 31 2021
App289,HEALTH,3.5,285650,79M,50000+,Free,3.6571716177213967,March 26 2018
App290,HEALTH,4.0,210673,31M,50000+,Free,7.033339360032155,September 18 2020
App291,LIFESTYLE,3.6,375,16M,1000+,Paid,0.5886112046637182,March 16 2022
App292,ENTERTAINMENT,4.1,202038,28M,50000+,Paid,9.151745378961614,November 24 2022
App293,BUSINESS,3.8,223880,17M,1000+,Paid,2.1545022812471206,June 13 2023
App294,EDUCATION,3.7,7708,70M,50000+,Paid,5.304204874885903,March 29 2023
App295,HEALTH,4.1,172459,33M,1000+,Paid,8.639177611145662,June 03 2022
App296,HEALTH,3.8,142809,21M,5000+,Paid,7.059471509183,October 23 2018
App297,GAME,3.6,170157,51M,50000+,Paid,6.153991914219665,December 03 2020
App298,SOCIAL,4.7,208104,22M,1000000+,Paid,1.2413297658775635,August 17 2019
App299,GAME,4.4,411377,22M,1000000+,Paid,1.017654481938941,October 01 2021
App300,SOCIAL,4.9,494805,8M,500000+,Free,1.1015166679100696,April 09 2021
App301,BUSINESS,4.7,167323,30M,10000+,Free,4.952882813593322,November 01 2020
App302,PRODUCTIVITY,4.7,349366,26M,500000+,Free,0.9184123121294174,October 27 2019
App303,BUSINESS,4.5,142930,19M,5000+,Free,6.308071437221471,December 30 2020
App304,TOOLS,3.5,120531,43M,50000+,Paid,5.15872471813033,April 15 2022
App305,SOCIAL,4.8,259003,17M,50000+,Paid,5.931555377966648,June 01 2020
App306,EDUCATION,4.0,424385,79M,100000+,Free,5.758295889256875,June 25 2018
App307,PRODUCTIVITY,4.8,241468,72M,500000+,Paid,8.537861494882396,August 26 2018
App308,FINANCE,5.0,224627,43M,100000+,Paid,9.162781048953759,July 13 2018
App309,BUSINESS,4.6,38043,17M,1000+,Paid,3.9693573585894626,June 09 2018
App310,PRODUCTIVITY,3.9,205179,39M,10000+,Paid,8.423626062719855,December 01 2021
App311,HEALTH,4.8,253059,68M,10000+,Free,9.110081588340579,September 10 2021
App312,HEALTH,3.9,363526,9M,10000+,Free,2.06759485428155,July 29 2021
App313,HEALTH,3.7,44803,22M,50000+,Free,6.566193095910897,March 09 2023
App314,PRODUCTIVITY,3.5,268661,31M,50000+,Free,4.884313678276468,September 15 2019
App315,LIFESTYLE,4.7,2358,50M,10000+,Paid,2.7984012677387735,October 21 2018
App316,SOCIAL,3.9,142222,67M,100000+,Free,3.276504898471404,November 01 2020
App317,PRODUCTIVITY,4.4,252369,38M,100000+,Paid,5.685561688040187,October 10 2019
App318,PRODUCTIVITY,4.6,33947,80M,1000+,Free,2.0626240155914353,January 16 2019
App319,BUSINESS,4.2,344310,65M,100000+,Paid,0.014142038794211498,September 11 2019
App320,EDUCATION,3.8,278700,79M,500000+,Free,1.7441861499676692,August 28 2020
